idiom,meaning,language,domain,register,english_idiom,target_translation
nesreča/ resen zlom kosti,a misfortune - a serious bone fracture,en,,,A bad break,A bad break
slab dan,a day on which everything seems to go wrong,en,,,A bad hair day,A bad hair day
Slab delavec krivi orodje.,a proverb that suggests a poor worker blames others for failure,en,,,A bad workman always blames his tools,A bad workman always blames his tools
velika prošnja / težka zahteva,a favour that is difficult to ask,en,,,A big ask,A big ask
več za svoj denar,better value for your money,en,,,A bigger bang for your buck,A bigger bang for your buck
Bolje vrabec v roki kot golob na strehi.,better a certain advantage than a risky one,en,,,A bird in the hand is worth two in the bush,A bird in the hand is worth two in the bush
nekaj malega za pojest,a small quick meal,en,,,A bite to eat,A bite to eat
prikrita korist,an apparent misfortune that turns out beneficial,en,,,A blessing in disguise,A blessing in disguise
prepir / spor,cockney slang for a row or argument,en,,,A bull and cow,A bull and cow
pest,a fist,en,,,A bunch of fives,A bunch of fives
kompleks manjvrednosti / občutljiv na kritiko,feeling of inferiority with quick offence,en,,,A chip on your shoulder,A chip on your shoulder
diamant v surovem stanju / nebrušen talent,someone with good qualities but unpolished,en,,,A diamond in the rough,A diamond in the rough
kot listja in trave / zelo pogost,something very common,en,,,A dime a dozen,A dime a dozen
nezaupljivi skeptik,a sceptic who needs proof,en,,,A doubting Thomas,A doubting Thomas
kaplja v morje,a very small part of a whole,en,,,A drop in the bucket,A drop in the bucket
usoda hujša od smrti,something extremely terrible,en,,,A fate worse than death,A fate worse than death
dosežek / nekaj na kar si ponosen,a symbol of achievement,en,,,A feather in one's cap,A feather in one's cap
kot riba na suhem,someone in an unfamiliar situation,en,,,A fish out of water,A fish out of water
kratek uspeh / kratkotrajna slava,something that fails after early success,en,,,A flash in the pan,A flash in the pan
muha v mazilu / manjša napaka ki pokvari celoto,a small flaw that spoils everything,en,,,A fly in the ointment,A fly in the ointment
nevidni opazovalec / opazovanje brez poseganja,an unperceived observer - able to see and hear but not be seen or heard. 2 - a form of cinema in which events are recorded without direction,en,,,A fly on the wall,A fly on the wall
nespametna oseba hitro izgubi denar,a foolish person is very likely to lose his money,en,,,A fool and his money are soon parted,A fool and his money are soon parted
nerealno zadovoljstvo / lažna sreča,a state of euphoria with no basis in reality,en,,,A fool's paradise,A fool's paradise
prvi korak / vstopna priložnost,an initial inroad that may lead to greater influence in future,en,,,A foot in the door,A foot in the door
denar odpira vrata,money always has a telling influence,en,,,A golden key can open any door,A golden key can open any door
vroča tema / občutljivo vprašanje,a current issue which many people are talking about and which is controversial,en,,,A hot potato,A hot potato
razdeljena hiša ne more obstati / notranji spor vodi v propad,failure is certain if those on the same side argue amongst themselves,en,,,A house divided against itself cannot stand,A house divided against itself cannot stand
rešitelj / rešiteljica,a person who comes to the aid of another when other hopes have faded,en,,,A knight in shining armour,A knight in shining armour
človek se ne spremeni / narave ne moreš spremeniti,you cannot change your innate self,en,,,A leopard can't change his spots,A leopard can't change his spots
ptiček mi je povedal,i was told by an undisclosed source,en,,,A little bird told me,A little bird told me
nesmisel / bedarija,nonsense,en,,,A load of cobblers,A load of cobblers
veliko obveznosti,having many responsibilities,en,,,A lot on your plate,A lot on your plate
sorodna duša / nekdo po mojem okusu,a kindred spirit - someone who thinks like me,en,,,A man after my own heart,A man after my own heart
"če zgrešiš, je to še vedno neuspeh / tesen poraz",some endeavours either succeed or they don't - to miss narrowly is still failure,en,,,A miss is as good as a mile,A miss is as good as a mile
kaj razmišljaš?,a way of asking what someone is thinking,en,,,A penny for your thoughts,A penny for your thoughts
"kar prihraniš, je kot zaslužek",anything you save has the same effect as adding to your income,en,,,A penny saved is a penny earned,A penny saved is a penny earned
Slike povedo več kot besede,pictures are far more descriptive than words,en,,,A picture paints a thousand words,A picture paints a thousand words
Zelo lahko / zelo enostavno,a task that can be accomplished very easily,en,,,A piece of cake,A piece of cake
Kupiti nekaj brez pregleda / nakup na slepo,a commodity that is bought without first examining it,en,,,A pig in a poke,A pig in a poke
Idealno mesto / boljše življenje,an idealistic dream of a sunny hideaway,en,,,A place in the sun,A place in the sun
Provokacija,a deliberate provocation,en,,,A red rag to a bull,A red rag to a bull
Zanesljiva oseba,a reliable person - who can be trusted not to fail in a task,en,,,A safe pair of hands,A safe pair of hands
Korenita sprememba,a radical change,en,,,A sea change,A sea change
Prijeten pogled / nekaj kar razveseli,a welcome sight that you weren't expecting,en,,,A sight for sore eyes,A sight for sore eyes
Skrivnost ki povzroča sram,a secret and possibly ruinous source of shame,en,,,A skeleton in the closet,A skeleton in the closet
Spodbuda / zagon,a boost or encouragement,en,,,A shot in the arm,A shot in the arm
Blaga kazen / blag opomin,a mild rebuke - often given when a more severe punishment might be expected,en,,,A slap on the wrist,A slap on the wrist
Pretirana uporaba sredstev za majhen problem,the use of excessive resources to overcome a small problem,en,,,A sledgehammer to crack a nut,A sledgehammer to crack a nut
Zanemarjen prizor / nekaj zapuščenega,something sadly neglected - a person or thing of untidy appearance,en,,,A sorry sight,A sorry sight
Pravočasno ukrepanje prepreči večjo škodo,a small effort made at the right time might save a calamity later on,en,,,A stitch in time saves nine,A stitch in time saves nine
Na kratki razdalji,a short distance,en,,,A stone's throw,A stone's throw
Vračilo istega ravnanja,mistreatment you receive in retaliation to that you gave to others,en,,,A taste of your own medicine,A taste of your own medicine
Stalna nadloga,a persistent and difficult to ignore annoyance,en,,,A thorn in my flesh,A thorn in my flesh
Neodločena izbira / negotov izid,the flip of a coin to decide on something - a result - usually between two courses of action - which is uncertain and could go either way,en,,,A toss up,A toss up
Nekdo ki se predstavlja kot dobrohoten a skriva slabe namene,someone who uses the pretence of kindliness to disguise their evil intent,en,,,A wolf in sheep's clothing,A wolf in sheep's clothing
Sprememba stališča / obrat smeri,a military command to turn when on parade - a change from one's previous position,en,,,About face,About face
Že zdavnaj bi moralo biti,almost time - high time,en,,,About time,About time
Odsotnost okrepi čustva,our feelings for people and things grows when we are apart from them,en,,,Absence makes the heart grow fonder,Absence makes the heart grow fonder
Popolnoma / absolutno,a more emphatic version of 'absolutely',en,,,Abso-bloody-lutely,Abso-bloody-lutely
Skrita prednost,a saved - hidden advantage that can supply a victory when revealed,en,,,Ace in the hole,Ace in the hole
Šibka točka,a fatal weakness in an otherwise strong person or thing,en,,,Achilles' heel,Achilles' heel
Na vseh področjih,applying everywhere and to all classes of thing,en,,,Across the board,Across the board
Obnašaj se primerno svoji starosti,behave in a manner appropriate to your stage in life,en,,,Act your age,Act your age
Dejanja govorijo glasneje kot besede,actions show one's character more than what you say,en,,,Actions speak louder than words,Actions speak louder than words
Voda,a reference to water - often used to emphasize the purity of water compared to other drinks,en,,,Adam's ale,Adam's ale
Še poslabšati situacijo,make a bad situation even worse than it is,en,,,Add fuel to the fire,Add fuel to the fire
Še dodatno poslabšati že slabo situacijo,to further a loss - to make a bad situation worse,en,,,Add insult to injury,Add insult to injury
V časovni stiski / proti času,in a great hurry to complete something before a set deadline,en,,,Against the clock,Against the clock
To mi ni prvič / imam izkušnje,said by someone who has experience of a situation,en,,,Ain't my first rodeo,Ain't my first rodeo
Na prostem,in the open air,en,,,Al fresco,Al fresco
Jesti obrok med delom / jesti med delom,eating one's lunch while still working,en,,,Al desko,Al desko
V zmedi / zmeden,in a confused - disordered state,en,,,All at sea,All at sea
Resno povedano,said when you want people to realise you are speaking seriously - when they might otherwise think you were joking,en,,,All kidding aside,All kidding aside
Veliko govorjenja brez dejanj,having lots to say but not willing to engage in a fight,en,,,All bark and no bite,All bark and no bite
Nerazumljivo,incomprehensible - as greek is to someone who cannot speak it,en,,,All Greek to me,All Greek to me
Na splošno,on the whole - when everything is considered,en,,,All in all,All in all
Nekaj običajnega,typical - a normal set of circumstances,en,,,All in a day's work,All in a day's work
Pripravljen,ready to go,en,,,All set,All set
Popolnoma / do konca,referring to something that is done fully - especially as a euphemism for full sexual activity,en,,,All the way,All the way
Neroden,clumsy or physically inept,en,,,All thumbs,All thumbs
Pokvarjeno / zmedeno,ruined or shambolic,en,,,All to cock,All to cock
Vsi skupaj / pridružite se,invitation to join in communal singing,en,,,All together now,All together now
Potepuška mačka / slabšalno za osebo,a cat that lives wild in a town - slang term for a prostitute,en,,,Alley cat,Alley cat
Ambiciozna mama,an ambitious mother who aims to excel at work while raising children,en,,,Alpha Mom,Alpha Mom
Zmeda kratic / kup inicialk,a jumble of words or letters - often referring to organisations known by their initials - like cia or bbc,en,,,Alphabet soup,Alphabet soup
Pivo,a slang term for lager,en,,,Amber nectar,Amber nectar
Navdušen / poln energije,excited and ready for action,en,,,Amped up,Amped up
Dogodek zunaj človeškega nadzora,some event that is considered to be outside human control - commonly used in insurance policies to refer to events that the insured cannot be held responsible for,en,,,An act of God,An act of God
Zelo drago,very expensive - a large amount of money,en,,,An arm and a leg,An arm and a leg
Spor z nekom,a dispute with someone,en,,,An axe to grind,An axe to grind
Jasna pravna zadeva z očitnim izidom,a straightforward legal case in which the outcome is clear,en,,,An open and shut case,An open and shut case
Majhen otrok / šaljiv izraz za otroka,a slang term for small child,en,,,Ankle biter,Ankle biter
Stopnice,cockney rhyming slang for stairs,en,,,Apples and pears,Apples and pears
Zelo visoko / omamljen ali zelo vzhičen,very high up in the sky - high on drugs or excitement,en,,,As high as a kite,As high as a kite
Takoj / brez odlašanja,with no delay,en,,,At the drop of a hat,At the drop of a hat
V oblakih / v svojem svetu,not facing reality - in a dream world,en,,,Away with the fairies,Away with the fairies
Pozabljivost zaradi pomanjkanja spanja,confusion or forgetfulness caused by lack of sleep when caring for a new-born,en,,,Baby brain,Baby brain
Nosečniški trebušček,the protruding belly of a pregnant woman - also used to describe the unborn child itself,en,,,Baby bump,Baby bump
Oseba v razmerju z veliko mlajšo osebo,someone who enters into an amorous relationship with a much younger person,en,,,Baby snatcher,Baby snatcher
Nekdo ki kritizira brez neposredne vpletenosti,someone who criticizes from the side-lines without being directly involved,en,,,Back seat driver,Back seat driver
Nazaj na začetek,back to the beginning,en,,,Back to square one,Back to square one
Na novo začeti zaradi neuspelega načrta,said when a plan fails and it's time to start again and make a new plan,en,,,Back to the drawing board,Back to the drawing board
Brezdomka z vsemi stvarmi pri sebi,a homeless woman - who carries all her possessions in shopping bags,en,,,Bag lady,Bag lady
